ItemName,ItemType,Rarity,Positioning
Blue,Background,Unknown,
Brown,BagType,Unknown,
Egg Plant,Greens,Unknown,
A5 Wagyu,Proteins,Unknown,
Milk,Drink,Unknown,
Safron,Snack,Unknown,
Peach,Fruits,Unknown,
Rice,Carbs,Unknown,
Black,Background,Unknown,
"Plastic (maybe no plastic, cause we wanna promote save the earth)",BagType,Unknown,
Cucumber,Greens,Unknown,
Chicken,Proteins,Unknown,
Juice,Drink,Unknown,
White Truffle of Alba,Snack,Unknown,
Red Apple,Fruits,Unknown,
Instant Noodles,Carbs,Unknown,
White,Background,Unknown,
Canvas,BagType,Unknown,
Cabbage,Greens,Unknown,
Tuna,Proteins,Unknown,
Coca Cola,Drink,Unknown,
Almas Caviar,Snack,Unknown,
Orange,Fruits,Unknown,
Korean Spicy Noodle,Carbs,Unknown,
Red,Background,Unknown,
Cotton,BagType,Unknown,
Long Bean,Greens,Unknown,
Shrimp,Proteins,Unknown,
Pepsi,Drink,Unknown,
Potato chips,Snack,Unknown,
Green Apple,Fruits,Unknown,
French Fries,Carbs,Unknown,
Yellow,Background,Unknown,
Asparagus,Greens,Unknown,
Crab,Proteins,Unknown,
Soy Milk,Drink,Unknown,
Chocolate bars,Snack,Unknown,
Strawberries,Fruits,Unknown,
Cup Noodles,Carbs,Unknown,
Green,Background,Unknown,
Brocolli,Greens,Unknown,
Mutton,Proteins,Unknown,
Bottled water,Drink,Unknown,
Tofu,Snack,Unknown,
Blueberries,Fruits,Unknown,
Sourdough bread,Carbs,Unknown,
Purple,Background,Unknown,
Potato,Greens,Unknown,
Salami,Proteins,Unknown,
7up,Drink,Unknown,
Fish Roe,Snack,Unknown,
Lemon,Fruits,Unknown,
French Bread,Carbs,Unknown,
Artichoke,Greens,Unknown,
Pork loin,Proteins,Unknown,
Beer,Drink,Unknown,
Frozen fruit slice,Snack,Unknown,
Durian,Fruits,Unknown,
Carrot,Greens,Unknown,
Fugu,Proteins,Unknown,
Wine,Drink,Unknown,
Eggs,Snack,Unknown,
Mango,Fruits,Unknown,
Raddish,Greens,Unknown,
Acorn-fed Iberian Ham,Proteins,Unknown,
MIlo,Drink,Unknown,
Shitake Mushrooms,Snack,Unknown,
Avocado,Fruits,Unknown,
Spinach,Greens,Unknown,
Beef,Proteins,Unknown,
Champagne,Drink,Unknown,
Matsutake Mushroom,Snack,Unknown,
Densuke Black Watermelon,Fruits,Unknown,
Lettuce,Greens,Unknown,
Salmon,Proteins,Unknown,
Peanut Butter,Snack,Unknown,
Yubari Melon,Fruits,Unknown,
Beansprouts,Greens,Unknown,
lobster,Proteins,Unknown,
Black Thorn Durian,Fruits,Unknown,
Cauliflower,Greens,Unknown,
Grapes,Fruits,Unknown,
Pumpkin,Greens,Unknown,
Tomatoe,Fruits,Unknown,
Red Bell Peppers,Greens,Unknown,
Pineapple,Fruits,Unknown,
Green Bell Peppers,Greens,Unknown,
Banana,Fruits,Unknown,
